sample,fastq_1,fastq_2,strandedness
D_N1,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/1_S1_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/1_S1_R2_001.fastq.gz,auto
D_N2,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/2_S2_R1_001.fastq.gz ,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/2_S2_R2_001.fastq.gz,auto
D_N3,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/3_S3_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/3_S3_R2_001.fastq.gz,auto
D_N4,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/4_S4_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/4_S4_R2_001.fastq.gz,auto
D_N5,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/5_S5_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/5_S5_R2_001.fastq.gz,auto
J_N1,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/6_S6_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/6_S6_R2_001.fastq.gz,auto
J_N2,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/7_S7_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/7_S7_R2_001.fastq.gz,auto
J_N3,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/8_S8_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/8_S8_R2_001.fastq.gz,auto
J_N4,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/9_S9_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/9_S9_R2_001.fastq.gz,auto
J_N5,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/10_S10_R1_001.fastq.gz ,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/10_S10_R2_001.fastq.gz,auto
I_N1,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/11_S11_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/11_S11_R2_001.fastq.gz,auto
I_N2,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/12_S12_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/12_S12_R2_001.fastq.gz,auto
I_N3,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/13_S13_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/13_S13_R2_001.fastq.gz ,auto
I_N4,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/14_S14_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/14_S14_R2_001.fastq.gz,auto
I_N5,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/15_S15_R1_001.fastq.gz,/home/bnguyen3/Projects/Project_jhtalbot/raw_data/15_S15_R2_001.fastq.gz,auto
